Tapera naevia,Least Concern
Dromococcyx pavoninus,Least Concern
Dromococcyx phasianellus,Least Concern
Morococcyx erythropygus,Least Concern
Geococcyx californianus,Least Concern
Geococcyx velox,Least Concern
Neomorphus geoffroyi,Vulnerable
Neomorphus pucheranii,Least Concern
Neomorphus radiolosus,Vulnerable
Neomorphus rufipennis,Least Concern
Neomorphus squamiger,Unknown
Carpococcyx radiceus,Vulnerable
Carpococcyx renauldi,Endangered
Carpococcyx viridis,Critically Endangered
Coua caerulea,Least Concern
Coua coquereli,Least Concern
Coua cristata,Least Concern
Coua cursor,Least Concern
Coua delalandei,Extinct
Coua gigas,Least Concern
Coua olivaceiceps,Least Concern
Coua reynaudii,Least Concern
Coua ruficeps,Least Concern
Coua serriana,Least Concern
Coua verreauxi,Least Concern
Centropus andamanensis,Least Concern
Centropus anselli,Least Concern
Centropus ateralbus,Least Concern
Centropus bengalensis,Least Concern
Centropus bernsteini,Least Concern
Centropus burchellii,Unknown
Centropus celebensis,Least Concern
Centropus chalybeus,Near Threatened
Centropus chlororhynchos,Vulnerable
Centropus cupreicaudus,Least Concern
Centropus goliath,Least Concern
Centropus grillii,Least Concern
Centropus leucogaster,Least Concern
Centropus melanops,Least Concern
Centropus menbeki,Least Concern
Centropus milo,Least Concern
Centropus monachus,Least Concern
Centropus nigrorufus,Vulnerable
Centropus phasianinus,Least Concern
Centropus rectunguis,Vulnerable
Centropus senegalensis,Least Concern
Centropus sinensis,Least Concern
Centropus steerii,Critically Endangered
Centropus superciliosus,Least Concern
Centropus toulou,Least Concern
Centropus unirufus,Near Threatened
Centropus violaceus,Least Concern
Centropus viridis,Least Concern
Rhinortha chlorophaea,Least Concern
Ceuthmochares aereus,Least Concern
Ceuthmochares australis,Least Concern
Taccocua leschenaultii,Least Concern
Zanclostomus javanicus,Least Concern
Phaenicophaeus curvirostris,Least Concern
Phaenicophaeus diardi,Near Threatened
Phaenicophaeus oeneicaudus,Least Concern
Phaenicophaeus pyrrhocephalus,Vulnerable
Phaenicophaeus sumatranus,Near Threatened
Phaenicophaeus tristis,Least Concern
Phaenicophaeus viridirostris,Least Concern
Rhamphococcyx calyorhynchus,Least Concern
Dasylophus cumingi,Unknown
Dasylophus superciliosus,Least Concern
Clamator coromandus,Least Concern
Clamator glandarius,Least Concern
Clamator jacobinus,Least Concern
Clamator levaillantii,Least Concern
Coccycua cinerea,Least Concern
Coccycua minuta,Least Concern
Coccycua pumila,Least Concern
Piaya cayana,Least Concern
Piaya melanogaster,Least Concern
Piaya mexicana,Unknown
Coccyzus americanus,Least Concern
Coccyzus erythropthalmus,Least Concern
Coccyzus euleri,Least Concern
Coccyzus ferrugineus,Vulnerable
Coccyzus lansbergi,Least Concern
Coccyzus longirostris,Least Concern
Coccyzus melacoryphus,Least Concern
Coccyzus merlini,Least Concern
Coccyzus minor,Least Concern
Coccyzus pluvialis,Least Concern
Coccyzus rufigularis,Endangered
Coccyzus vetula,Least Concern
Coccyzus vieilloti,Least Concern
Nannococcyx psix,Extinct
Pachycoccyx audeberti,Least Concern
Microdynamis parva,Least Concern
Eudynamys melanorhynchus,Unknown
Eudynamys orientalis,Least Concern
Eudynamys scolopaceus,Least Concern
Urodynamis taitensis,Least Concern
Scythrops novaehollandiae,Least Concern
Chrysococcyx caprius,Least Concern
Chrysococcyx cupreus,Least Concern
Chrysococcyx flavigularis,Least Concern
Chrysococcyx klaas,Least Concern
Chrysococcyx maculatus,Least Concern
Chrysococcyx xanthorhynchus,Least Concern
Chalcites basalis,Least Concern
Chalcites crassirostris,Least Concern
Chalcites lucidus,Least Concern
Chalcites megarhynchus,Least Concern
Chalcites meyerii,Least Concern
Chalcites minutillus,Least Concern
Chalcites osculans,Least Concern
Chalcites ruficollis,Least Concern
Heteroscenes pallidus,Least Concern
Caliechthrus leucolophus,Least Concern
Cacomantis addendus,Unknown
Cacomantis aeruginosus,Least Concern
Cacomantis blandus,Unknown
Cacomantis castaneiventris,Least Concern
Cacomantis flabelliformis,Least Concern
Cacomantis merulinus,Least Concern
Cacomantis passerinus,Least Concern
Cacomantis sepulcralis,Unknown
Cacomantis sonneratii,Least Concern
Cacomantis variolosus,Least Concern
Cacomantis virescens,Unknown
Cercococcyx mechowi,Least Concern
Cercococcyx montanus,Least Concern
Cercococcyx olivinus,Least Concern
Surniculus dicruroides,Least Concern
Surniculus lugubris,Least Concern
Surniculus musschenbroeki,Least Concern
Surniculus velutinus,Least Concern
Hierococcyx bocki,Least Concern
Hierococcyx fugax,Least Concern
Hierococcyx hyperythrus,Least Concern
Hierococcyx nisicolor,Least Concern
Hierococcyx pectoralis,Least Concern
Hierococcyx sparverioides,Least Concern
Hierococcyx vagans,Near Threatened
Hierococcyx varius,Least Concern
Cuculus canorus,Least Concern
Cuculus clamosus,Least Concern
Cuculus crassirostris,Least Concern
Cuculus gularis,Least Concern
Cuculus lepidus,Least Concern
Cuculus micropterus,Least Concern
Cuculus optatus,Least Concern
Cuculus poliocephalus,Least Concern
Cuculus rochii,Least Concern
Cuculus saturatus,Least Concern
Cuculus solitarius,Least Concern
Monias benschi,Vulnerable
Mesitornis unicolor,Vulnerable
Mesitornis variegatus,Vulnerable
Syrrhaptes paradoxus,Least Concern
Syrrhaptes tibetanus,Least Concern
Pterocles alchata,Least Concern
Pterocles bicinctus,Least Concern
Pterocles burchelli,Least Concern
Pterocles coronatus,Least Concern
Pterocles decoratus,Least Concern
Pterocles exustus,Least Concern
Pterocles gutturalis,Least Concern
Pterocles indicus,Least Concern
Pterocles lichtensteinii,Least Concern
Pterocles namaqua,Least Concern
Pterocles orientalis,Least Concern
Pterocles personatus,Least Concern
Pterocles quadricinctus,Least Concern
Pterocles senegallus,Least Concern
Claravis pretiosa,Least Concern
Uropelia campestris,Least Concern
Paraclaravis geoffroyi,Critically Endangered
Paraclaravis mondetoura,Least Concern
Metriopelia aymara,Least Concern
Metriopelia ceciliae,Least Concern
Metriopelia melanoptera,Least Concern
Metriopelia morenoi,Least Concern
Columbina buckleyi,Least Concern
Columbina cruziana,Least Concern
Columbina cyanopis,Critically Endangered
Columbina inca,Least Concern
Columbina minuta,Least Concern
Columbina passerina,Least Concern
Columbina picui,Least Concern
Columbina squammata,Least Concern
Columbina talpacoti,Least Concern
Starnoenas cyanocephala,Endangered
Geotrygon caniceps,Vulnerable
Geotrygon chrysia,Least Concern
Geotrygon leucometopia,Endangered
Geotrygon montana,Least Concern
Geotrygon mystacea,Least Concern
Geotrygon purpurata,Endangered
Geotrygon saphirina,Least Concern
Geotrygon versicolor,Near Threatened
Geotrygon violacea,Least Concern
Leptotrygon veraguensis,Least Concern
Leptotila cassinii,Least Concern
Leptotila conoveri,Near Threatened
Leptotila jamaicensis,Least Concern
Leptotila megalura,Least Concern
Leptotila ochraceiventris,Vulnerable
Leptotila pallida,Least Concern
Leptotila plumbeiceps,Least Concern
Leptotila rufaxilla,Least Concern
Leptotila verreauxi,Least Concern
Leptotila wellsi,Critically Endangered
Zenaida asiatica,Least Concern
Zenaida auriculata,Least Concern
Zenaida aurita,Least Concern
Zenaida galapagoensis,Near Threatened
Zenaida graysoni,Extinct in the Wild
Zenaida macroura,Least Concern
Zenaida meloda,Least Concern
