GALLIFORMES: Odontophoridae

Golden-crowned Kinglet	Regulus satrapa	金冠戴菊	
Ruby-crowned Kinglet	Regulus calendula	红冠戴菊	
 
PASSERIFORMES: Troglodytidae

Rock Wren	Salpinctes obsoletus	岩鹪鹩	
Canyon Wren	Catherpes mexicanus	墨西哥鹪鹩	
Marsh Wren	Cistothorus palustris	长嘴沼泽鹪鹩	
Bewick's Wren	Thryomanes bewickii	比氏苇鹪鹩	
Pacific Wren	Troglodytes pacificus	太平洋鹪鹩	
House Wren	Troglodytes aedon	莺鹪鹩	
 
PASSERIFORMES: Polioptilidae

Blue-grey Gnatcatcher	Polioptila caerulea	灰蓝蚋莺	
 
PASSERIFORMES: Sittidae

Pygmy Nuthatch	Sitta pygmaea	小䴓	Rare
Red-breasted Nuthatch	Sitta canadensis	红胸䴓	
White-breasted Nuthatch	Sitta carolinensis	白胸䴓	
 
PASSERIFORMES: Certhiidae

Brown Creeper	Certhia americana	美洲旋木雀	
 
PASSERIFORMES: Mimidae

Grey Catbird	Dumetella carolinensis	灰嘲鸫	Rare
Northern Mockingbird	Mimus polyglottos	小嘲鸫	
Sage Thrasher	Oreoscoptes montanus	高山弯嘴嘲鸫	
Brown Thrasher	Toxostoma rufum	褐弯嘴嘲鸫	Rare
 
PASSERIFORMES: Sturnidae

Common Starling	Sturnus vulgaris	紫翅椋鸟	外来物种
 
PASSERIFORMES: Turdidae

Varied Thrush	Ixoreus naevius	杂色鸫	
Western Bluebird	Sialia mexicana	西蓝鸲	Rare
Mountain Bluebird	Sialia currucoides	山蓝鸲	
Townsend's Solitaire	Myadestes townsendi	坦氏孤鸫	Rare
Swainson's Thrush	Catharus ustulatus	斯氏夜鸫	
Hermit Thrush	Catharus guttatus	隐夜鸫	
American Robin	Turdus migratorius	旅鸫	
 
PASSERIFORMES: Cinclidae

American Dipper	Cinclus mexicanus	美洲河鸟	Rare
 
PASSERIFORMES: Passeridae

House Sparrow	Passer domesticus	家麻雀	
 
PASSERIFORMES: Estrildidae

Scaly-breasted Munia	Lonchura punctulata	斑文鸟	外来物种
 
PASSERIFORMES: Motacillidae

Red-throated Pipit	Anthus cervinus	红喉鹨	Rare
Buff-bellied Pipit	Anthus rubescens	黄腹鹨	
 
PASSERIFORMES: Fringillidae

Evening Grosbeak	Hesperiphona vespertina	黄昏锡嘴雀	Rare
Purple Finch	Haemorhous purpureus	紫朱雀	
House Finch	Haemorhous mexicanus	家朱雀	
Red Crossbill	Loxia curvirostra	红交嘴雀	
Lawrence's Goldfinch	Spinus lawrencei	加州金翅雀	
American Goldfinch	Spinus tristis	美洲金翅雀	
Lesser Goldfinch	Spinus psaltria	暗背金翅雀	
Pine Siskin	Spinus pinus	松金翅雀	
 
PASSERIFORMES: Calcariidae

