ANSERIFORMES: Anatidae

Scaly-crowned Babbler	Malacopteron cinereum	小红头树鹛	
Rufous-crowned Babbler	Malacopteron magnum	大红头树鹛	
Moustached Babbler	Malacopteron magnirostre	须树鹛	
Black-capped Babbler	Pellorneum capistratum	黑冠幽鹛	
Short-tailed Babbler	Pellorneum malaccense	短尾雅鹛	
Temminck's Babbler	Pellorneum pyrrogenys	泰氏幽鹛	
White-chested Babbler	Pellorneum rostratum	白胸雅鹛	
Ferruginous Babbler	Pellorneum bicolor	锈色雅鹛	
Abbott's Babbler	Malacocincla abbotti	阿氏雅鹛	
Horsfield's Babbler	Malacocincla sepiaria	霍斯氏雅鹛	
Bornean Wren-Babbler	Ptilocichla leucogrammica	加里曼丹地鹛	
 
PASSERIFORMES: Alcippeidae

Brown Fulvetta	Alcippe brunneicauda	褐雀鹛	
 
PASSERIFORMES: Irenidae

Asian Fairy-bluebird	Irena puella	和平鸟	
 
PASSERIFORMES: Sittidae

Velvet-fronted Nuthatch	Sitta frontalis	绒额䴓	
 
PASSERIFORMES: Sturnidae

Asian Glossy Starling	Aplonis panayensis	亚洲辉椋鸟	
Common Hill Myna	Gracula religiosa	鹩哥	
Crested Myna	Acridotheres cristatellus	八哥	
Common Myna	Acridotheres tristis	家八哥	Introduced species
Black-collared Starling	Gracupica nigricollis	黑领椋鸟	Introduced species
Chestnut-cheeked Starling	Agropsar philippensis	紫背椋鸟	
 
PASSERIFORMES: Turdidae

Chestnut-capped Thrush	Geokichla interpres	栗顶地鸫	
Orange-headed Thrush	Geokichla citrina	橙头地鸫	
Island Thrush	Turdus poliocephalus	岛鸫	
Eyebrowed Thrush	Turdus obscurus	白眉鸫	
Pale Thrush	Turdus pallidus	白腹鸫	
Fruithunter	Chlamydochaera jefferyi	食果鸫	Endemic (country/region)
 
PASSERIFORMES: Muscicapidae

Oriental Magpie-Robin	Copsychus saularis	鹊鸲	
Rufous-tailed Shama	Copsychus pyrropygus	橙尾鹊鸲	
White-rumped Shama	Copsychus malabaricus	白腰鹊鸲	
White-crowned Shama	Copsychus stricklandii	白腰鹊鸲 (stricklandii/barbouri)	Endemic (country/region)
Dark-sided Flycatcher	Muscicapa sibirica	乌鹟	
Asian Brown Flycatcher	Muscicapa dauurica	北灰鹟	
Pale Blue Flycatcher	Cyornis unicolor	纯蓝仙鹟	
Javan Blue Flycatcher	Cyornis banyumas	山蓝仙鹟	
Sunda Blue Flycatcher	Cyornis caerulatus	大嘴仙鹟	
Bornean Blue Flycatcher	Cyornis superbus	加里曼丹仙鹟	
Malaysian Blue Flycatcher	Cyornis turcosus	马来仙鹟	
Mangrove Blue Flycatcher	Cyornis rufigastra	红树仙鹟	
Brown-chested Jungle Flycatcher	Cyornis brunneatus	白喉林鹟	Rare/Accidental
Fulvous-chested Jungle Flycatcher	Cyornis olivaceus	绿背林鹟	
Grey-chested Jungle Flycatcher	Cyornis umbratilis	灰胸林鹟	
Rufous-tailed Jungle Flycatcher	Cyornis ruficauda	棕尾林鹟	
Blue-and-white Flycatcher	Cyanoptila cyanomelana	白腹蓝鹟	
Verditer Flycatcher	Eumyias thalassinus	铜蓝鹟	
White-browed Shortwing	Brachypteryx montana	蓝短翅鸫	
Eyebrowed Jungle Flycatcher	Vauriella gularis	白眉林鹟	Endemic (country/region)
Siberian Rubythroat	Calliope calliope	红喉歌鸲	
White-crowned Forktail	Enicurus leschenaulti	白冠燕尾（广布）	
Bornean Forktail	Enicurus borneensis	白冠燕尾 (borneensis)	
Bornean Whistling Thrush	Myophonus borneensis	婆罗洲啸鸫	
Mugimaki Flycatcher	Ficedula mugimaki	鸲姬鹟	
Snowy-browed Flycatcher	Ficedula hyperythra	棕胸蓝姬鹟	
Taiga Flycatcher	Ficedula albicilla	红喉姬鹟	
Rufous-chested Flycatcher	Ficedula dumetoria	棕胸姬鹟	
Blue Rock Thrush	Monticola solitarius	蓝矶鸫	
Siberian Stonechat	Saxicola maurus	黑喉石鵖	
Stejneger's Stonechat	Saxicola stejnegeri	黑喉石䳭（东北亚，东亚石䳭）	
 
PASSERIFORMES: Chloropseidae

Greater Green Leafbird	Chloropsis sonnerati	大绿叶鹎	
Lesser Green Leafbird	Chloropsis cyanopogon	小绿叶鹎	
Blue-winged Leafbird	Chloropsis cochinchinensis	蓝翅叶鹎	
Bornean Leafbird	Chloropsis kinabaluensis	婆罗洲叶鹎	
 
PASSERIFORMES: Dicaeidae

Yellow-breasted Flowerpecker	Prionochilus maculatus	黄喉锯齿啄花鸟	
Crimson-breasted Flowerpecker	Prionochilus percussus	红胸锯齿啄花鸟	
Yellow-rumped Flowerpecker	Prionochilus xanthopygius	加里曼丹啄花鸟	
Scarlet-breasted Flowerpecker	Prionochilus thoracicus	赤胸锯齿啄花鸟	
Brown-backed Flowerpecker	Dicaeum everetti	褐背啄花鸟	
Yellow-vented Flowerpecker	Dicaeum chrysorrheum	黄臀啄花鸟	
Orange-bellied Flowerpecker	Dicaeum trigonostigma	橙腹啄花鸟	
Plain Flowerpecker	Dicaeum minullum	纯色啄花鸟	
Scarlet-backed Flowerpecker	Dicaeum cruentatum	朱背啄花鸟	
 
PASSERIFORMES: Nectariniidae

Ruby-cheeked Sunbird	Chalcoparia singalensis	紫颊直嘴太阳鸟	
Plain Sunbird	Anthreptes simplex	纯色食蜜鸟	
Brown-throated Sunbird	Anthreptes malacensis	褐喉食蜜鸟	
Red-throated Sunbird	Anthreptes rhodolaemus	棕喉食蜜鸟	
Van Hasselt's Sunbird	Leptocoma brasiliana	紫喉蓝肩花蜜鸟	
Copper-throated Sunbird	Leptocoma calcostetha	铜喉花蜜鸟	
Olive-backed Sunbird	Cinnyris jugularis	黄腹花蜜鸟	
Crimson Sunbird	Aethopyga siparaja	黄腰太阳鸟	
Temminck's Sunbird	Aethopyga temminckii	特氏太阳鸟	
Purple-naped Sunbird	Kurochkinegramma hypogrammicum	蓝枕花蜜鸟	
Little Spiderhunter	Arachnothera longirostra	长嘴捕蛛鸟	
Thick-billed Spiderhunter	Arachnothera crassirostris	厚嘴捕蛛鸟	
Long-billed Spiderhunter	Arachnothera robusta	纹胸捕蛛鸟	
Spectacled Spiderhunter	Arachnothera flavigaster	大黄耳捕蛛鸟	
Yellow-eared Spiderhunter	Arachnothera chrysogenys	小黄耳捕蛛鸟	
Grey-breasted Spiderhunter	Arachnothera modesta	灰胸捕蛛鸟	
Bornean Spiderhunter	Arachnothera everetti	婆罗洲捕蛛鸟	
 
PASSERIFORMES: Passeridae

Eurasian Tree Sparrow	Passer montanus	麻雀（树麻雀）	
 
PASSERIFORMES: Estrildidae

Java Sparrow	Lonchura oryzivora	爪哇禾雀	Introduced species
Scaly-breasted Munia	Lonchura punctulata	斑文鸟	
Dusky Munia	Lonchura fuscans	暗栗文鸟	
White-bellied Munia	Lonchura leucogastra	白胸文鸟	
Chestnut Munia	Lonchura atricapilla	栗腹文鸟	
Pin-tailed Parrotfinch	Erythrura prasina	长尾鹦雀	
Tawny-breasted Parrotfinch	Erythrura hyperythra	绿尾鹦雀	
 
PASSERIFORMES: Motacillidae

Western Yellow Wagtail	Motacilla flava	西黄鹡鸰	
Eastern Yellow Wagtail	Motacilla tschutschensis	黄鹡鸰	
Grey Wagtail	Motacilla cinerea	灰鹡鸰	
White Wagtail	Motacilla alba	白鹡鸰	
Paddyfield Pipit	Anthus rufulus	田鹨	
Olive-backed Pipit	Anthus hodgsoni	树鹨	
Pechora Pipit	Anthus gustavi	北鹨	
Red-throated Pipit	Anthus cervinus	红喉鹨	
 
PASSERIFORMES: Emberizidae

Yellow-breasted Bunting	Emberiza aureola	黄胸鹀	
Black-headed Bunting	Emberiza melanocephala	黑头鹀	Rare/Accidental
