Ortalis cinereiceps,2,3-18 Hotel Bougainvillea 3.98%;3-19 Tirimbina Rainforest 42.76%;3-20 Estacion Biologica La Selva 9.89%;3-21 Arenal Observatory Lodge 30.23%;3-22 Arenal Observatory Lodge--access rd 32.87%;3-23 Hotel de Montana Monteverde 18.77%;3-24 Curi-Cancha Refugio de Vida Silvestre 14.92%;3-24 Reserva Bosque Nuboso Monteverde 2.42%
Ortalis columbiana,0,
Ortalis erythroptera,0,
Ortalis garrula,0,
Ortalis guttata,0,
Ortalis leucogastra,0,
Ortalis motmot,0,
Ortalis poliocephala,0,
Ortalis ruficauda,0,
Ortalis ruficeps,0,
Ortalis squamata,0,
Ortalis superciliaris,0,
Ortalis vetula,0,
Ortalis wagleri,0,
Penelope albipennis,0,
Penelope argyrotis,0,
Penelope barbata,0,
Penelope bridgesi,0,
Penelope dabbenei,0,
Penelope jacquacu,0,
Penelope jacucaca,0,
Penelope marail,0,
Penelope montagnii,0,
Penelope obscura,0,
Penelope ochrogaster,0,
Penelope ortoni,0,
Penelope perspicax,0,
Penelope pileata,0,
Penelope purpurascens,2,3-19 Tirimbina Rainforest 10.26%;3-20 Estacion Biologica La Selva 43.69%;3-21 Arenal Observatory Lodge 67.19%;3-22 Arenal Observatory Lodge--access rd 32.89%;3-24 Curi-Cancha Refugio de Vida Silvestre 44.34%;3-24 Reserva Bosque Nuboso Monteverde 9.12%;3-26 PN Carara-Entrada principal 8.46%
Penelope superciliaris,0,
Pipile cujubi,0,
Pipile cumanensis,0,
Pipile grayi,1,单型种(全);-----------------------------------------------------;2022-7-3 多伦多动物园
Pipile jacutinga,0,
Pipile pipile,0,
Aburria aburri,0,
Chamaepetes goudotii,0,
Chamaepetes unicolor,2,3-19 La Paz Waterfall Gardens 14.35%;3-21 Galeria de Colibriy Soda Cinchona 9.04%;3-23 Hotel de Montana Monteverde 6.25%;3-24 Curi-Cancha Refugio de Vida Silvestre 25.01%;3-24 Reserva Bosque Nuboso Monteverde 51.63%
Penelopina nigra,0,
Oreophasis derbianus,0,
Nothocrax urumutum,0,
Mitu mitu,0,
Mitu salvini,0,
Mitu tomentosum,0,
Mitu tuberosum,1,单型种(全);-----------------------------------------------------;2019-8-19 新加坡裕廊飞禽公园
Pauxi koepckeae,0,
Pauxi pauxi,0,
Pauxi unicornis,0,
Crax alberti,0,
Crax alector,1,2个亚种;-----------------------------------------------------;2018-11-25 上海动物园
Crax blumenbachii,0,
Crax daubentoni,0,
Crax fasciolata,0,
Crax globulosa,0,
Crax rubra,1,2个亚种;-----------------------------------------------------;2018-10-7 台北动物园;;3-20 Estacion Biologica La Selva 31.59%;3-21 Arenal Observatory Lodge 56.86%;3-22 Arenal Observatory Lodge--access rd 24.31%
Agelastes meleagrides,0,
Agelastes niger,0,
Numida meleagris,1,9个亚种;-----------------------------------------------------;2018-4-8 湖南长沙动物园
Guttera edouardi,0,
Guttera plumifera,0,
Guttera pucherani,0,
Guttera verreauxi,0,
Acryllium vulturinum,1,单型种(全);-----------------------------------------------------;2019-8-19 新加坡裕廊飞禽公园
Ptilopachus nahani,0,
Ptilopachus petrosus,0,
Dendrortyx barbatus,0,
Dendrortyx leucophrys,0,
Dendrortyx macroura,0,
Oreortyx pictus,0,
Callipepla californica,1,5个亚种;-----------------------------------------------------;2019-1-16 新西兰Taopo(引进种);2019-1-18 新西兰南岛rabbit island(引进种)
Callipepla douglasii,0,
Callipepla gambelii,0,
Callipepla squamata,0,
Philortyx fasciatus,0,
Colinus cristatus,0,
Colinus leucopogon,0,
Colinus nigrogularis,0,
Colinus virginianus,0,
Odontophorus atrifrons,0,
Odontophorus balliviani,0,
Odontophorus capueira,0,
Odontophorus columbianus,0,
Odontophorus dialeucos,0,
Odontophorus erythrops,0,
Odontophorus gujanensis,0,
Odontophorus guttatus,2,3-28 Savegre Hotel 27.18%
Odontophorus hyperythrus,0,
Odontophorus leucolaemus,2,3-19 La Paz Waterfall Gardens 1.74%;3-24 Curi-Cancha Refugio de Vida Silvestre 10.30%;3-24 Reserva Bosque Nuboso Monteverde 16.01%
Odontophorus melanonotus,0,
Odontophorus melanotis,0,
Odontophorus speciosus,0,
Odontophorus stellatus,0,
Odontophorus strophium,0,
Dactylortyx thoracicus,0,
Cyrtonyx montezumae,0,
Cyrtonyx ocellatus,0,
Rhynchortyx cinctus,0,
Xenoperdix obscuratus,0,
Xenoperdix udzungwensis,0,
Caloperdix oculeus,0,
Rollulus rouloul,1,单型种(全);-----------------------------------------------------;2019-8-19 新加坡裕廊飞禽公园
Melanoperdix niger,0,
Arborophila ardens,1,单型种(全);-----------------------------------------------------;2022-1-20 海南尖峰岭
Arborophila atrogularis,0,
Arborophila brunneopectus,0,
Arborophila cambodiana,0,
Arborophila campbelli,0,
Arborophila crudigularis,0,
Arborophila davidi,0,
Arborophila diversa,0,
Arborophila gingica,1,2个亚种;-----------------------------------------------------;2019-4-27 厦门杉级内;2019-8-19 新加坡裕廊飞禽公园;;
Arborophila hyperythra,0,
Arborophila javanica,0,
Arborophila mandellii,0,
Arborophila orientalis,0,
Arborophila rolli,0,
Arborophila rubrirostris,0,
Arborophila rufipectus,0,
Arborophila rufogularis,0,
Arborophila sumatrana,0,
Arborophila torqueola,0,
Lerwa lerwa,0,
Ithaginis cruentus,1,12个亚种;-----------------------------------------------------;2020-8-2 西藏吉隆镇扎村山路(cruentus);
Tragopan blythii,0,
Tragopan caboti,1,2个亚种;-----------------------------------------------------;2019-7-7 福建省三明市峨嵋峰(caboti);2019-8-19 新加坡裕廊飞禽公园
Tragopan melanocephalus,0,
Tragopan satyra,0,
Tragopan temminckii,1,单型种(全);-----------------------------------------------------;2018-5-26 北京动物园
Tetraophasis obscurus,0,
Tetraophasis szechenyii,0,
Lophophorus impejanus,0,
Lophophorus lhuysii,0,
Lophophorus sclateri,0,
Pucrasia macrolopha,17,9个亚种;-----------------------------------------------------;2022-1-2 三明峨眉峰(darwini)
Meleagris gallopavo,1,6个亚种;-----------------------------------------------------;2022-12-4 多伦多Rouge park(silvestris);
Meleagris ocellata,0,
Bonasa umbellus,0,
Tetrastes bonasia,0,
Tetrastes sewerzowi,0,
Centrocercus minimus,0,
Centrocercus urophasianus,0,
Dendragapus fuliginosus,0,
Dendragapus obscurus,0,
Tympanuchus cupido,0,
Tympanuchus pallidicinctus,0,
Tympanuchus phasianellus,0,
Lagopus lagopus,0,
Lagopus leucura,0,
Lagopus muta,0,
Falcipennis falcipennis,0,
Canachites canadensis,0,
Tetrao urogalloides,0,
Tetrao urogallus,0,
Lyrurus mlokosiewiczi,0,
Lyrurus tetrix,0,
Rhizothera dulitensis,0,
Rhizothera longirostris,0,
Perdix dauurica,0,
Perdix hodgsoniae,1,3个亚种;-----------------------------------------------------;2020-8-1 西藏聂拉木县(hodgsoniae)
Perdix perdix,0,
Syrmaticus ellioti,1,单型种(全);-----------------------------------------------------;2019-7-7 福建省三明市峨嵋峰
Syrmaticus humiae,0,
Syrmaticus mikado,0,
Syrmaticus reevesii,1,单型种(全);-----------------------------------------------------;2018-3-18 福州动物园;2019-8-19 新加坡裕廊飞禽公园
Syrmaticus soemmerringii,0,
Chrysolophus amherstiae,1,单型种(全);-----------------------------------------------------;2018-3-18 福州动物园
Chrysolophus pictus,1,单型种(全);-----------------------------------------------------;2018-3-18 福州动物园
Phasianus colchicus,1,30个亚种;-----------------------------------------------------;2018-10-3 台湾花莲(formosanus);2019-1-16 新西兰Rotorua(引进种);2019-4-27 厦门同安杉际内(torquatus);2020-11-1 西安陕西宾馆(strauchi);2021-5-15 宁夏石嘴山大武口森林公园(alaschanicus);2021-5-17 内蒙古阿拉善市区(sohokhotensis);;
Phasianus versicolor,0,
Catreus wallichii,0,
Crossoptilon auritum,1,单型种(全);-----------------------------------------------------;2018-5-26 北京动物园
Crossoptilon crossoptilon,1,4个亚种;-----------------------------------------------------;2018-5-26 北京动物园(crossoptilon);
Crossoptilon harmani,1,单型种(全);-----------------------------------------------------;2018-5-26 北京动物园
Crossoptilon mantchuricum,1,单型种(全);-----------------------------------------------------;2018-5-26 北京动物园
Lophura bulweri,0,
Lophura diardi,1,单型种(全);-----------------------------------------------------;2019-8-19 新加坡裕廊飞禽公园
Lophura edwardsi,1,单型种(全);-----------------------------------------------------;2019-5-7 香港公园尤德观鸟园;2019-8-19 新加坡裕廊飞禽公园
Lophura erythrophthalma,1,单型种(全);-----------------------------------------------------;2019-8-19 新加坡裕廊飞禽公园
Lophura ignita,0,
Lophura inornata,0,
Lophura leucomelanos,1,9个亚种;-----------------------------------------------------;2020-8-2 西藏吉隆镇扎村山路(leucomelanos)
Lophura nycthemera,1,15个亚种;-----------------------------------------------------;2019-4-6 福州森林公园(fokiensis)
Lophura pyronota,0,
Lophura rufa,1,单型种(全);-----------------------------------------------------;2019-8-19 新加坡裕廊飞禽公园
Lophura swinhoii,1,单型种(全);-----------------------------------------------------;2018-5-26 北京动物园;2019-8-19 新加坡裕廊飞禽公园
Rheinardia nigrescens,0,
Rheinardia ocellata,0,
Argusianus argus,1,2个亚种;-----------------------------------------------------;2018-10-7 台北动物园
Afropavo congensis,0,
Pavo cristatus,1,单型种(全);-----------------------------------------------------;2017-12-23 厦门中山动物园
Pavo muticus,0,
Tropicoperdix charltonii,0,
Tropicoperdix chloropus,0,
Tropicoperdix graydoni,0,
Haematortyx sanguiniceps,0,
Galloperdix bicalcarata,0,
Galloperdix lunulata,0,
Galloperdix spadicea,0,
Polyplectron bicalcaratum,0,
Polyplectron chalcurum,1,2个亚种;-----------------------------------------------------;2019-8-19 新加坡裕廊飞禽公园
Polyplectron germaini,1,单型种(全);-----------------------------------------------------;2019-8-19 新加坡裕廊飞禽公园
Polyplectron inopinatum,1,单型种(全);-----------------------------------------------------;2019-5-7 香港动植物公园;2019-8-19 新加坡裕廊飞禽公园
Polyplectron katsumatae,17,单型种(全);-----------------------------------------------------;2022-1-20 海南尖峰岭
Polyplectron malacense,1,单型种(全);-----------------------------------------------------;2019-5-7 香港动植物公园
Polyplectron napoleonis,0,
Polyplectron schleiermacheri,0,
Bambusicola fytchii,1,2个亚种;-----------------------------------------------------;2019-8-19 新加坡裕廊飞禽公园
Bambusicola sonorivox,0,
Bambusicola thoracicus,1,单型种(全);-----------------------------------------------------;2018-5-18 厦门天竺山森林公园
Gallus gallus,1,5个亚种;-----------------------------------------------------;2019-8-18 新加坡巴西立公园(引进种)
Gallus lafayettii,1,单型种(全);-----------------------------------------------------;2019-8-19 新加坡裕廊飞禽公园
Gallus sonneratii,1,单型种(全);-----------------------------------------------------;2018-10-7 台北动物园
Gallus varius,0,
Peliperdix lathami,0,
Ortygornis gularis,0,
Ortygornis pondicerianus,1,3个亚种;-----------------------------------------------------;2023-1-9 阿联酋迪拜(引进种)
Ortygornis sephaena,0,
Francolinus francolinus,0,
Francolinus pictus,0,
Francolinus pintadeanus,0,
Campocolinus albogularis,0,
Campocolinus coqui,0,
Campocolinus schlegelii,0,
Scleroptila afra,0,
Scleroptila elgonensis,0,
Scleroptila finschi,0,
Scleroptila gutturalis,0,
Scleroptila levaillantii,0,
Scleroptila psilolaema,0,
Scleroptila shelleyi,0,
Scleroptila streptophora,0,
Scleroptila whytei,0,
