109	0324	蒙古沙鸻	Charadrius	mongolus	Siberian	Sand	Plover	LC	-	A
110	0325	青藏沙鸻	Charadrius	atrifrons	Tibetan	Sand	Plover	NR	-	B
111	0326	铁嘴沙鸻	Charadrius	leschenaultii	Greater	Sand	Plover	LC	-	A
112	0328	东方鸻	Charadrius	veredus	Oriental	Plover	LC	-	C
鸻形目	彩鹬科	CHARADRIIFORMES	Rostratulidae
113	0330	彩鹬	Rostratula	benghalensis	Greater	Painted	Snipe	LC	-	B
鸻形目	水雉科	CHARADRIIFORMES	Jacanidae
114	0331	水雉	Hydrophasianus	chirurgus	Pheasant-tailed	Jacana	LC	二级	B
鸻形目	丘鹬科	CHARADRIIFORMES	Scolopacidae
115	0333	中杓鹬	Numenius	phaeopus	Eurasian	Whimbrel	LC	-	A
116	0334	小杓鹬	Numenius	minutus	Little	Curlew	LC	二级	B
117	0335	大杓鹬	Numenius	madagascariensis	Eastern	Curlew	EN	二级	B
118	0336	白腰杓鹬	Numenius	arquata	Eurasian	Curlew	NT	二级	A
119	0337	斑尾塍鹬	Limosa	lapponica	Bar-tailed	Godwit	NT	-	A
120	0338	黑尾塍鹬	Limosa	limosa	Black-tailed	Godwit	NT	-	A
121	0339	翻石鹬	Arenaria	interpres	Ruddy	Turnstone	LC	二级	A
122	0340	大滨鹬	Calidris	tenuirostris	Great	Knot	EN	二级	B
123	0341	红腹滨鹬	Calidris	canutus	Red	Knot	NT	-	B
124	0342	流苏鹬	Calidris	pugnax	Ruff	LC	-	C
125	0343	阔嘴鹬	Calidris	falcinellus	Broad-billed	Sandpiper	LC	二级	A
126	0344	尖尾滨鹬	Calidris	acuminata	Sharp-tailed	Sandpiper	VU	-	A
127	0346	弯嘴滨鹬	Calidris	ferruginea	Curlew	Sandpiper	NT	-	A
128	0347	青脚滨鹬	Calidris	temminckii	Temminck's	Stint	LC	-	B
129	0348	长趾滨鹬	Calidris	subminuta	Long-toed	Stint	LC	-	B
130	0349	勺嘴鹬	Calidris	pygmaea	Spoon-billed	Sandpiper	CR	一级	C
131	0350	红颈滨鹬	Calidris	ruficollis	Red-necked	Stint	NT	-	A
132	0351	三趾滨鹬	Calidris	alba	Sanderling	LC	-	A
133	0352	黑腹滨鹬	Calidris	alpina	Dunlin	LC	-	A
134	0355	小滨鹬	Calidris	minuta	Little	Stint	LC	-	C
135	0358	斑胸滨鹬	Calidris	melanotos	Pectoral	Sandpiper	LC	-	D
136	0360	半蹼鹬	Limnodromus	semipalmatus	Asian	Dowitcher	NT	二级	C
