
 
GALLIFORMES: Odontophoridae

Chatham Bellbird	Anthornis melanocephala	查塔姆吸蜜鸟	Endemic
 
PASSERIFORMES: Acanthizidae

Grey Gerygone	Gerygone igata	灰噪刺莺	Endemic
Chatham Gerygone	Gerygone albofrontata	查岛噪刺莺	Endemic
 
PASSERIFORMES: Rhipiduridae

Willie Wagtail	Rhipidura leucophrys	黑白扇尾鹟	Rare
New Zealand Fantail	Rhipidura fuliginosa	灰扇尾鹟	Endemic
 
PASSERIFORMES: Corvidae

Rook	Corvus frugilegus	秃鼻乌鸦	Rare
 
PASSERIFORMES: Petroicidae

Tomtit	Petroica macrocephala	雀鸲鹟	Endemic
Black Robin	Petroica traversi	查岛鸲鹟	Endemic
 
PASSERIFORMES: Alaudidae

Eurasian Skylark	Alauda arvensis	云雀	外来物种
 
PASSERIFORMES: Hirundinidae

Welcome Swallow	Hirundo neoxena	迎燕	
Tree Martin	Petrochelidon nigricans	树燕	Rare
 
PASSERIFORMES: Locustellidae

Chatham Fernbird	Poodytes rufescens	查塔姆蕨莺	Endemic
 
PASSERIFORMES: Zosteropidae

Silvereye	Zosterops lateralis	灰胸绣眼鸟	
 
PASSERIFORMES: Sturnidae

Common Starling	Sturnus vulgaris	紫翅椋鸟	外来物种
 
PASSERIFORMES: Turdidae

Common Blackbird	Turdus merula	乌鸫	外来物种
Song Thrush	Turdus philomelos	欧歌鸫	外来物种
 
PASSERIFORMES: Passeridae

House Sparrow	Passer domesticus	家麻雀	外来物种
 
PASSERIFORMES: Prunellidae

Dunnock	Prunella modularis	林岩鹨	外来物种
 
PASSERIFORMES: Motacillidae

New Zealand Pipit	Anthus novaeseelandiae	澳洲鹨	Endemic
 
PASSERIFORMES: Fringillidae

Common Chaffinch	Fringilla coelebs	苍头燕雀	外来物种
European Greenfinch	Chloris chloris	欧金翅雀	外来物种
Common Redpoll	Acanthis flammea	白腰朱顶雀	外来物种
Lesser Redpoll	Acanthis cabaret	小朱顶雀	外来物种
European Goldfinch	Carduelis carduelis	红额金翅雀	外来物种
 
PASSERIFORMES: Emberizidae

Yellowhammer	Emberiza citrinella	黄鹀	Rare
