
 
APTERYGIFORMES: Apterygidae

Campbell Shag	Leucocarbo campbelli	坎岛鸬鹚	Endemic
Auckland Shag	Leucocarbo colensoi	奥岛鸬鹚	Endemic
Bounty Shag	Leucocarbo ranfurlyi	邦岛鸬鹚	Endemic
 
SULIFORMES: Anhingidae

Australasian Darter	Anhinga novaehollandiae	澳洲蛇鹈	Rare
 
PELECANIFORMES: Threskiornithidae

Australian White Ibis	Threskiornis molucca	澳洲白鹮	Rare
Straw-necked Ibis	Threskiornis spinicollis	蓑颈白鹮	Rare
Glossy Ibis	Plegadis falcinellus	彩鹮	Rare
Royal Spoonbill	Platalea regia	澳洲琵鹭	
Yellow-billed Spoonbill	Platalea flavipes	黄嘴琵鹭	Rare
 
PELECANIFORMES: Ardeidae

Australasian Bittern	Botaurus poiciloptilus	褐麻鳽	
Black-backed Bittern	Ixobrychus dubius	黑背苇鳽	Rare
New Zealand Bittern	Ixobrychus novaezelandiae	分布于新西兰	Endemic
Nankeen Night Heron	Nycticorax caledonicus	棕夜鹭	Rare
Eastern Cattle Egret	Bubulcus coromandus	*牛背鹭	
Grey Heron	Ardea cinerea	苍鹭	Rare
White-necked Heron	Ardea pacifica	白颈鹭	Rare
Great Egret	Ardea alba	大白鹭	
Intermediate Egret	Ardea intermedia	中白鹭	Rare
White-faced Heron	Egretta novaehollandiae	白脸鹭	
Little Egret	Egretta garzetta	小白鹭	
Pacific Reef Heron	Egretta sacra	岩鹭	
 
PELECANIFORMES: Pelecanidae

Australian Pelican	Pelecanus conspicillatus	澳洲鹈鹕	Rare
 
ACCIPITRIFORMES: Accipitridae

Swamp Harrier	Circus approximans	沼泽鹞	
Black Kite	Milvus migrans	鸢	Rare
White-bellied Sea Eagle	Haliaeetus leucogaster	白腹海雕	Rare
 
STRIGIFORMES: Tytonidae

Eastern Barn Owl	Tyto javanica	东方仓鸮	Rare
 
STRIGIFORMES: Strigidae

Little Owl	Athene noctua	纵纹腹小鸮	外来物种
Morepork	Ninox novaeseelandiae	斑布克鹰鸮	
Laughing Owl	Sceloglaux albifacies	笑鸮	Endemic
 
CORACIIFORMES: Coraciidae

Oriental Dollarbird	Eurystomus orientalis	三宝鸟	Rare
 
CORACIIFORMES: Alcedinidae

Laughing Kookaburra	Dacelo novaeguineae	笑翠鸟	外来物种
Sacred Kingfisher	Todiramphus sanctus	白眉翡翠	
 
FALCONIFORMES: Falconidae

Nankeen Kestrel	Falco cenchroides	澳洲隼	Rare
New Zealand Falcon	Falco novaeseelandiae	新西兰隼	Endemic
 
PSITTACIFORMES: Strigopidae

Kakapo	Strigops habroptila	鸮面鹦鹉	Endemic
Kea	Nestor notabilis	啄羊鹦鹉	Endemic
New Zealand Kaka	Nestor meridionalis	白顶啄羊鹦鹉	Endemic
 
PSITTACIFORMES: Cacatuidae

Galah	Eolophus roseicapilla	粉红凤头鹦鹉	外来物种
Sulphur-crested Cockatoo	Cacatua galerita	葵花鹦鹉	外来物种
 
PSITTACIFORMES: Psittaculidae

