中文名	拉丁名	英文名	记录次数	定点记	随手记
栗喉蜂虎	Merops philippinus	Blue-tailed Bee Eater	2	2	0
斑鱼狗	Ceryle rudis	Pied Kingfisher	18	17	0
斑姬啄木鸟	Picumnus innominatus	Speckled Piculet	10	10	0
蓝翡翠	Halcyon pileata	Black-capped Kingfisher	3	3	0
大拟啄木鸟	Psilopogon virens	Great Barbet	19	17	2
金喉拟啄木鸟	Psilopogon franklinii	Golden-throated Barbet	1	1	0
黑眉拟啄木鸟	Psilopogon faber	Chinese Barbet	6	6	0
普通翠鸟	Alcedo atthis	Common Kingfisher	34	34	0
蚁䴕	Jynx torquilla	Wryneck	1	1	0
白眉棕啄木鸟	Sasia ochracea	White-browed Piculet	1	0	1
大金背啄木鸟	Chrysocolaptes guttacristatus	Greater Flameback	2	2	0
黄嘴栗啄木鸟	Blythipicus pyrrhotis	Bay Woodpecker	9	9	0
大黄冠啄木鸟	Chrysophlegma flavinucha	Greater Yellow-naped Woodpecker	4	4	0
栗啄木鸟	Micropternus brachyurus	Rufous Woodpecker	8	7	1
黄冠啄木鸟	Picus chlorolophus	Lesser Yellow-naped Woodpecker	1	1	0
星头啄木鸟	Picoides canicapillus	Grey-capped Woodpecker	3	3	0
灰头绿啄木鸟	Picus canus	Grey-faced Woodpecker	7	6	1
灰喉山椒鸟	Pericrocotus solaris	Grey-chinned Minivet	18	17	1
大斑啄木鸟	Dendrocopos major	Great Spotted Woodpecker	8	8	0
白背啄木鸟	Dendrocopos leucotos	White-backed Woodpecker	1	1	0
红隼	Falco tinnunculus	Common Kestrel	22	22	0
猎隼	Falco cherrug	Saker Falcon	1	0	1
黑枕黄鹂	Oriolus chinensis	Black-naped Oriole	2	2	0
朱鹂	Oriolus traillii	Maroon Oriole	1	1	0
栗喉鵙鹛	Pteruthius melanotis	Black-eared Shrike-babbler	3	2	1
赤胸啄木鸟	Dryobates cathpharius	Scarlet-breasted Woodpecker	3	1	2
黄颈啄木鸟	Dendrocopos darjellensis	Brown-throated Woodpecker	1	1	0
灰背隼	Falco columbarius	Merlin	1	1	0
游隼	Falco peregrinus	Peregrine Falcon	16	16	0
亚历山大鹦鹉	Psittacula eupatria	Alexandrine Parakeet	1	1	0
白腹凤鹛	Erpornis zantholeuca	White-bellied Erpornis	10	9	1
红翅鵙鹛	Pteruthius aeralatus	Blyth's Shrike-babbler	2	2	0
赤红山椒鸟	Pericrocotus speciosus	Scarlet Minivet	20	20	0
灰卷尾	Dicrurus leucophaeus	Ashy Drongo	3	3	0
淡绿鵙鹛	Pteruthius xanthochlorus	Green Shrike-babbler	2	2	0
大鹃鵙	Coracina macei	Large Cuckooshrike	1	1	0
褐背鹟鵙	Hemipus picatus	Bar-winged Flycatcher-shrike	1	1	0
钩嘴林鵙	Tephrodornis virgatus	Large Woodshrike	1	1	0
白喉扇尾鹟	Rhipidura albicollis	White-throated Fantail	4	4	0
黑卷尾	Dicrurus macrocercus	Black Drongo	10	9	0
红尾伯劳	Lanius cristatus	Brown Shrike	4	4	0
暗灰鹃鵙	Lalage melaschistos	Black-winged Cuckooshrike	4	4	0
灰燕鵙	Artamus fuscus	Ashy Woodswallow	2	2	0
古铜色卷尾	Dicrurus aeneus	Bronzed Drongo	4	2	2
小盘尾	Dicrurus remifer	Lesser Racket-tailed Drongo	1	1	0
发冠卷尾	Dicrurus hottentottus	Hair-crested Drongo	2	2	0
大盘尾	Dicrurus paradiseus	Greater Racket-tailed Drongo	2	2	0
黑枕王鹟	Hypothymis azurea	Black-naped Monarch	2	2	0
牛头伯劳	Lanius bucephalus	Bull-headed Shrike	1	1	0
棕背伯劳	Lanius schach	Long-tailed Shrike	74	72	0
红嘴山鸦	Pyrrhocorax pyrrhocorax	Red-billed Chough	1	0	1
灰背伯劳	Lanius tephronotus	Grey-backed Shrike	1	1	0
楔尾伯劳	Lanius sphenocercus	Chinese Grey Shrike	1	1	0
松鸦	Garrulus glandarius	Eurasian Jay	3	3	0
黑额树鹊	Dendrocitta frontalis	Collared Treepie	3	2	1
黄嘴山鸦	Pyrrhocorax graculus	Alpine Chough	1	0	1
灰喜鹊	Cyanopica cyanus	Azure-winged Magpie	12	12	0
黄嘴蓝鹊	Urocissa flavirostris	Yellow-billed Blue Magpie	2	2	0
红嘴蓝鹊	Urocissa erythroryncha	Red-billed Blue Magpie	22	21	1
蓝绿鹊	Cissa chinensis	Common Green Magpie	3	2	0
灰树鹊	Dendrocitta formosae	Grey Treepie	15	15	0
塔尾树鹊	Temnurus temnurus	Ratchet-tailed Treepie	1	1	0
大嘴乌鸦	Corvus macrorhynchos	Large-billed Crow	17	16	1
喜鹊	Pica serica	Oriental Magpie	60	60	0
秃鼻乌鸦	Corvus frugilegus	Rook	1	1	0
小嘴乌鸦	Corvus corone	Carrion Crow	4	4	0
白颈鸦	Corvus pectoralis	Collared Crow	13	13	0
黄腹扇尾鹟	Chelidorhynx hypoxanthus	Yellow-bellied Fantail	7	5	2
渡鸦	Corvus corax	Northern Raven	1	0	1
黑冠山雀	Periparus rubidiventris	Rufous-vented Tit	1	1	0
方尾鹟	Culicicapa ceylonensis	Grey-headed Canary-flycatcher	2	2	0
黄眉林雀	Sylviparus modestus	Yellow-browed Tit	2	2	0
冕雀	Melanochlora sultanea	Sultan Tit	1	1	0
大山雀	Parus minor	Japanese Tit	55	52	2
煤山雀	Periparus ater	Coal Tit	3	3	0
褐冠山雀	Lophophanes dichrous	Grey Crested Tit	2	2	0
地山雀	Pseudopodoces humilis	Ground Tit	1	0	1
黄腹山雀	Pardaliparus venustulus	Yellow-bellied Tit	2	2	0
沼泽山雀	Poecile palustris	Marsh Tit	7	7	0
绿背山雀	Parus monticolus	Green-backed Tit	4	4	0
小云雀	Alauda gulgula	Oriental Skylark	12	12	0
黄颊山雀	Machlolophus spilonotus	Yellow-cheeked Tit	8	5	2
中华攀雀	Remiz consobrinus	Chinese Penduline Tit	3	3	0
云雀	Alauda arvensis	Eurasian Skylark	6	6	0
黄臀鹎	Pycnonotus xanthorrhous	Brown-breasted Bulbul	1	1	0
喜山山鹪莺	Prinia crinigera	Himalayan Prinia	1	1	0
纯色山鹪莺	Prinia inornata	Plain Prinia	70	67	0
长尾缝叶莺	Orthotomus sutorius	Common Tailorbird	31	30	1
东方大苇莺	Acrocephalus orientalis	Oriental Reed Warbler	6	5	0
黑眉苇莺	Acrocephalus bistrigiceps	Black-browed Reed Warbler	1	1	0
小鳞胸鹪鹛	Pnoepyga pusilla	Pygmy Cupwing	15	15	0
高山短翅蝗莺	Locustella mandelli	Russet Bush Warbler	2	2	0
灰喉沙燕	Riparia chinensis	Grey-throated Martin	1	1	0
崖沙燕	Riparia riparia	Sand Martin	1	1	0
淡色崖沙燕	Riparia diluta	Pale Martin	4	4	0
家燕	Hirundo rustica	Barn Swallow	55	53	1
烟腹毛脚燕	Delichon dasypus	Asian House Martin	4	3	1
