
Dendrocygna javanica	栗树鸭	Lesser Whistling Duck
Haematopus ostralegus	蛎鹬	Eurasian Oystercatcher

Ibidorhyncha struthersii	鹮嘴鹬	Ibisbill

Himantopus himantopus	黑翅长脚鹬	Black-winged Stilt
Recurvirostra avosetta	反嘴鹬	Pied Avocet

Vanellus vanellus	凤头麦鸡	Northern Lapwing
Vanellus duvaucelii	距翅麦鸡	River Lapwing
Vanellus cinereus	灰头麦鸡	Grey-headed Lapwing
Vanellus indicus	肉垂麦鸡	Red-wattled Lapwing
Vanellus gregarius	黄颊麦鸡	Sociable Lapwing
Vanellus leucurus	白尾麦鸡	White-tailed Lapwing
Pluvialis apricaria	欧金鸻	European Golden Plover
Pluvialis fulva	金斑鸻	Pacific Golden Plover
Pluvialis dominica	美洲金鸻	American Golden Plover
Pluvialis squatarola	灰斑鸻	Grey Plover
Charadrius hiaticula	剑鸻	Common Ringed Plover
Charadrius placidus	长嘴剑鸻	Long-billed Plover
Charadrius dubius	金眶鸻	Little Ringed Plover
Charadrius alexandrinus	环颈鸻	Kentish Plover
Charadrius dealbatus	白脸鸻	White-faced Plover
Charadrius mongolus	蒙古沙鸻	Lesser Sand Plover
Charadrius leschenaultii	铁嘴沙鸻	Greater Sand Plover
Charadrius asiaticus	红胸鸻	Caspian Plover
Charadrius veredus	东方鸻	Oriental Plover
Charadrius morinellus	小嘴鸻	Eurasian Dotterel
Rostratula benghalensis	彩鹬	Greater Painted Snipe
Hydrophasianus chirurgus	水雉	Pheasant-tailed Jacana
Metopidius indicus	铜翅水雉	Bronze-winged Jacana

Numenius phaeopus	中杓鹬	Eurasian Whimbrel
Numenius minutus	小杓鹬	Little Curlew
Numenius madagascariensis	大杓鹬	Eastern Curlew
Numenius arquata	白腰杓鹬	Eurasian Curlew
Limosa lapponica	斑尾塍鹬	Bar-tailed Godwit
Limosa limosa	黑尾塍鹬	Black-tailed Godwit
Arenaria interpres	翻石鹬	Ruddy Turnstone
Calidris tenuirostris	大滨鹬	Great Knot
Calidris canutus	红腹滨鹬	Red Knot
Calidris pugnax	流苏鹬	Ruff
Calidris falcinellus	阔嘴鹬	Broad-billed Sandpiper
Calidris acuminata	尖尾滨鹬	Sharp-tailed Sandpiper
Calidris himantopus	高跷鹬	Stilt Sandpiper
Calidris ferruginea	弯嘴滨鹬	Curlew Sandpiper
Calidris temminckii	青脚滨鹬	Temminck's Stint
Calidris subminuta	长趾滨鹬	Long-toed Stint
Calidris pygmaea	勺嘴鹬	Spoon-billed Sandpiper
Calidris ruficollis	红颈滨鹬	Red-necked Stint
Calidris alba	三趾滨鹬	Sanderling
Calidris alpina	黑腹滨鹬	Dunlin
Calidris ptilocnemis	岩滨鹬	Rock Sandpiper
Calidris minuta	小滨鹬	Little Stint
Calidris fuscicollis	白腰滨鹬	White-rumped Sandpiper
Calidris subruficollis	饰胸鹬	Buff-breasted Sandpiper
Calidris melanotos	斑胸滨鹬	Pectoral Sandpiper
Calidris mauri	西方滨鹬	Western Sandpiper
Limnodromus semipalmatus	半蹼鹬	Asian Dowitcher
Limnodromus scolopaceus	长嘴鹬	Long-billed Dowitcher
Scolopax rusticola	丘鹬	Eurasian Woodcock
Lymnocryptes minimus	姬鹬	Jack Snipe
Gallinago solitaria	孤沙锥	Solitary Snipe
Gallinago hardwickii	澳南沙锥	Latham's Snipe
Gallinago nemoricola	林沙锥	Wood Snipe
Gallinago stenura	针尾沙锥	Pin-tailed Snipe
Gallinago megala	大沙锥	Swinhoe's Snipe
Gallinago gallinago	扇尾沙锥	Common Snipe
Xenus cinereus	翘嘴鹬	Terek Sandpiper
Phalaropus lobatus	红颈瓣蹼鹬	Red-necked Phalarope
Phalaropus fulicarius	灰瓣蹼鹬	Red Phalarope
Actitis hypoleucos	矶鹬	Common Sandpiper
Tringa ochropus	白腰草鹬	Green Sandpiper
Tringa incana	漂鹬	Wandering Tattler
Tringa brevipes	灰尾漂鹬	Grey-tailed Tattler
Tringa flavipes	小黄脚鹬	Lesser Yellowlegs
Tringa totanus	红脚鹬	Common Redshank
Tringa stagnatilis	泽鹬	Marsh Sandpiper
Tringa glareola	林鹬	Wood Sandpiper
Tringa erythropus	鹤鹬	Spotted Redshank
Tringa nebularia	青脚鹬	Common Greenshank
Tringa guttifer	小青脚鹬	Nordmann's Greenshank

Glareola pratincola	领燕鸻	Collared Pratincole
Glareola maldivarum	普通燕鸻	Oriental Pratincole
Glareola nordmanni	黑翅燕鸻	Black-winged Pratincole
Glareola lactea	灰燕鸻	Small Pratincole

Anous stolidus	白顶玄燕鸥	Brown Noddy
Anous minutus	玄燕鸥	Black Noddy
Gygis alba	白燕鸥	White Tern
Rissa tridactyla	三趾鸥	Black-legged Kittiwake
Xema sabini	叉尾鸥	Sabine's Gull
Chroicocephalus genei	细嘴鸥	Slender-billed Gull
Chroicocephalus novaehollandiae	澳洲红嘴鸥	Silver Gull
Chroicocephalus brunnicephalus	棕头鸥	Brown-headed Gull
Chroicocephalus ridibundus	红嘴鸥	Black-headed Gull
Chroicocephalus saundersi	黑嘴鸥	Saunders's Gull
Hydrocoloeus minutus	小鸥	Little Gull
Rhodostethia rosea	楔尾鸥	Ross's Gull
Leucophaeus atricilla	笑鸥	Laughing Gull
Leucophaeus pipixcan	弗氏鸥	Franklin's Gull
Ichthyaetus relictus	遗鸥	Relict Gull
Ichthyaetus ichthyaetus	渔鸥	Pallas's Gull
Larus crassirostris	黑尾鸥	Black-tailed Gull
Larus canus	海鸥	Mew Gull
Larus brachyrhynchus	美洲海鸥	Short-billed Gull
Larus delawarensis	环嘴鸥	Ring-billed Gull
Larus glaucescens	灰翅鸥	Glaucous-winged Gull
Larus hyperboreus	北极鸥	Glaucous Gull
Larus vegae	西伯利亚银鸥	Vega Gull
Larus cachinnans	黄脚银鸥	Caspian Gull
Larus schistisagus	灰背鸥	Slaty-backed Gull
Larus fuscus	小黑背银鸥	Lesser Black-backed Gull
Gelochelidon nilotica	鸥嘴噪鸥	Gull-billed Tern
Hydroprogne caspia	红嘴巨鸥	Caspian Tern
Thalasseus bergii	大凤头燕鸥	Greater Crested Tern
Thalasseus bengalensis	小凤头燕鸥	Lesser Crested Tern
Thalasseus bernsteini	中华凤头燕鸥	Chinese Crested Tern
Thalasseus sandvicensis	白嘴端凤头燕鸥	Sandwich Tern
Sternula albifrons	白额燕鸥	Little Tern
Onychoprion aleuticus	白腰燕鸥	Aleutian Tern
Onychoprion anaethetus	褐翅燕鸥	Bridled Tern
Onychoprion fuscatus	乌燕鸥	Sooty Tern
Sterna aurantia	黄嘴河燕鸥	River Tern
Sterna dougallii	粉红燕鸥	Roseate Tern
Sterna sumatrana	黑枕燕鸥	Black-naped Tern
Sterna hirundo	普通燕鸥	Common Tern
Sterna acuticauda	黑腹燕鸥	Black-bellied Tern
Chlidonias hybrida	须浮鸥	Whiskered Tern
Chlidonias leucopterus	白翅浮鸥	White-winged Tern
Chlidonias niger	黑浮鸥	Black Tern

Stercorarius maccormicki	南极贼鸥	South Polar Skua
Stercorarius pomarinus	中贼鸥	Pomarine Jaeger
Stercorarius parasiticus	短尾贼鸥	Parasitic Jaeger
Stercorarius longicaudus	长尾贼鸥	Long-tailed Jaeger

Uria aalge	崖海鸦	Common Murre
Brachyramphus perdix	斑海雀	Long-billed Murrelet
Synthliboramphus antiquus	扁嘴海雀	Ancient Murrelet
Synthliboramphus wumizusume	冠海雀	Japanese Murrelet
Cerorhinca monocerata	角嘴海雀	Rhinoceros Auklet

Syrrhaptes tibetanus	西藏毛腿沙鸡	Tibetan Sandgrouse
Syrrhaptes paradoxus	毛腿沙鸡	Pallas's Sandgrouse
Pterocles orientalis	黑腹沙鸡	Black-bellied Sandgrouse

Columba livia	原鸽	Rock Pigeon
Columba rupestris	岩鸽	Hill Pigeon
Columba leuconota	雪鸽	Snow Pigeon
Columba oenas	欧鸽	Stock Dove
Columba eversmanni	中亚鸽	Yellow-eyed Pigeon
Columba palumbus	斑尾林鸽	Common Wood Pigeon
Columba hodgsonii	点斑林鸽	Speckled Wood Pigeon
Columba pulchricollis	灰林鸽	Ashy Wood Pigeon
Columba punicea	紫林鸽	Pale-capped Pigeon
Columba janthina	黑林鸽	Japanese Wood Pigeon
Columba vitiensis	白喉林鸽	Metallic Pigeon
Streptopelia turtur	欧斑鸠	European Turtle Dove
Streptopelia orientalis	山斑鸠	Oriental Turtle Dove
Streptopelia decaocto	灰斑鸠	Eurasian Collared Dove
Streptopelia tranquebarica	火斑鸠	Red Collared Dove
Spilopelia chinensis	珠颈斑鸠	Spotted Dove
Spilopelia senegalensis	棕斑鸠	Laughing Dove
Macropygia unchall	斑尾鹃鸠	Barred Cuckoo-Dove
Macropygia tenuirostris	菲律宾鹃鸠	Philippine Cuckoo-Dove
Macropygia ruficeps	小鹃鸠	Little Cuckoo-Dove
Chalcophaps indica	绿翅金鸠	Emerald Dove
Geopelia striata	斑姬地鸠	Zebra Dove
Treron bicinctus	橙胸绿鸠	Orange-breasted Green Pigeon
Treron phayrei	灰头绿鸠	Ashy-headed Green Pigeon
Treron curvirostra	厚嘴绿鸠	Thick-billed Green Pigeon
Treron phoenicopterus	黄脚绿鸠	Yellow-footed Green Pigeon
Treron apicauda	针尾绿鸠	Pin-tailed Green Pigeon
Treron seimundi	白腹针尾绿鸠	Yellow-vented Green Pigeon
Treron sphenurus	楔尾绿鸠	Wedge-tailed Green Pigeon
Treron sieboldii	红翅绿鸠	White-bellied Green Pigeon
Treron formosae	红顶绿鸠	Taiwan Green Pigeon
Ptilinopus leclancheri	黑颏果鸠	Black-chinned Fruit Dove
Ducula aenea	绿皇鸠	Green Imperial Pigeon
Ducula badia	山皇鸠	Mountain Imperial Pigeon

Centropus sinensis	褐翅鸦鹃	Greater Coucal
Centropus bengalensis	小鸦鹃	Lesser Coucal
Phaenicophaeus tristis	绿嘴地鹃	Green-billed Malkoha
Clamator coromandus	红翅凤头鹃	Chestnut-winged Cuckoo
Clamator jacobinus	斑翅凤头鹃	Pied Cuckoo
Eudynamys scolopaceus	噪鹃	Asian Koel
Chrysococcyx maculatus	翠金鹃	Asian Emerald Cuckoo
Chrysococcyx xanthorhynchus	紫金鹃	Violet Cuckoo
Cacomantis sonneratii	栗斑杜鹃	Banded Bay Cuckoo
Cacomantis merulinus	八声杜鹃	Plaintive Cuckoo
Surniculus lugubris	乌鹃	Square-tailed Drongo-Cuckoo
Hierococcyx sparverioides	鹰鹃	Large Hawk-Cuckoo
Hierococcyx varius	普通鹰鹃	Common Hawk-Cuckoo
Hierococcyx hyperythrus	北鹰鹃	Northern Hawk-Cuckoo
Hierococcyx nisicolor	霍氏鹰鹃	Hodgson's Hawk-Cuckoo
Cuculus poliocephalus	小杜鹃	Asian Lesser Cuckoo
Cuculus micropterus	四声杜鹃	Indian Cuckoo
