
Dendrocygna javanica	栗树鸭	Lesser Whistling Duck
Anthus spinoletta	水鹨	Water Pipit
Anthus sylvanus	山鹨	Upland Pipit

Urocynchramus pylzowi	朱鹀	Pink-tailed Rosefinch

Fringilla coelebs	苍头燕雀	Common Chaffinch
Fringilla montifringilla	燕雀	Brambling
Mycerobas affinis	黄颈拟蜡嘴雀	Collared Grosbeak
Mycerobas melanozanthos	白点翅拟蜡嘴雀	Spot-winged Grosbeak
Mycerobas carnipes	白斑翅拟蜡嘴雀	White-winged Grosbeak
Coccothraustes coccothraustes	锡嘴雀	Hawfinch
Eophona migratoria	黑尾蜡嘴雀	Chinese Grosbeak
Eophona personata	黑头蜡嘴雀	Japanese Grosbeak
Pinicola enucleator	松雀	Pine Grosbeak
Pyrrhula nipalensis	褐灰雀	Brown Bullfinch
Pyrrhula erythrocephala	红头灰雀	Red-headed Bullfinch
Pyrrhula erythaca	灰头灰雀	Grey-headed Bullfinch
Pyrrhula owstoni	台湾灰头灰雀	Taiwan bullfinch
Pyrrhula pyrrhula	红腹灰雀	Eurasian Bullfinch
Rhodopechys sanguineus	红翅沙雀	Asian Crimson-winged Finch
Bucanetes mongolicus	蒙古沙雀	Mongolian Finch
Agraphospiza rubescens	赤朱雀	Blanford's Rosefinch
Callacanthis burtoni	红眉金翅雀	Spectacled Finch
Pyrrhoplectes epauletta	金枕黑雀	Gold-naped Finch
Procarduelis nipalensis	暗胸朱雀	Dark-breasted Rosefinch
Leucosticte nemoricola	林岭雀	Plain Mountain Finch
Leucosticte brandti	高山岭雀	Brandt's Mountain Finch
Leucosticte arctoa	粉红腹岭雀	Asian Rosy Finch
Carpodacus erythrinus	普通朱雀	Common Rosefinch
Carpodacus sipahi	血雀	Scarlet Finch
Carpodacus rubicilloides	拟大朱雀	Streaked Rosefinch
Carpodacus rubicilla	大朱雀	Spotted Great Rosefinch
Carpodacus grandis	喜山红腰朱雀	Blyth's Rosefinch
Carpodacus rhodochlamys	红腰朱雀	Red-mantled Rosefinch
Carpodacus pulcherrimus	喜山红眉朱雀	Himalayan Beautiful Rosefinch
Carpodacus davidianus	红眉朱雀	Chinese Beautiful Rosefinch
Carpodacus waltoni	曙红朱雀	Pink-rumped Rosefinch
Carpodacus rodochroa	玫红眉朱雀	Pink-browed Rosefinch
Carpodacus edwardsii	棕朱雀	Dark-rumped Rosefinch
Carpodacus rodopeplus	喜山点翅朱雀	Spot-winged Rosefinch
Carpodacus verreauxii	点翅朱雀	Sharpe's Rosefinch
Carpodacus vinaceus	酒红朱雀	Vinaceous Rosefinch
Carpodacus formosanus	台湾酒红朱雀	Taiwan Rosefinch
Carpodacus stoliczkae	沙色朱雀	Pale Rosefinch
Carpodacus roborowskii	藏雀	Tibetan Rosefinch
Carpodacus sillemi	褐头岭雀	Sillem's Mountain Finch
Carpodacus sibiricus	长尾雀	Long-tailed Rosefinch
Carpodacus roseus	北朱雀	Pallas's Rosefinch
Carpodacus trifasciatus	斑翅朱雀	Three-banded Rosefinch
Carpodacus thura	喜山白眉朱雀	Himalayan White-browed Rosefinch
Carpodacus dubius	白眉朱雀	Chinese White-browed Rosefinch
Carpodacus puniceus	红胸朱雀	Red-fronted Rosefinch
Carpodacus subhimachalus	红眉松雀	Crimson-browed Finch
Chloris chloris	欧金翅雀	European Greenfinch
Chloris sinica	金翅雀	Grey-capped Greenfinch
Chloris spinoides	高山金翅雀	Yellow-breasted Greenfinch
Chloris ambigua	黑头金翅雀	Black-headed Greenfinch
Rhodospiza obsoleta	巨嘴沙雀	Desert Finch
Linaria flavirostris	黄嘴朱顶雀	Twite
Linaria cannabina	赤胸朱顶雀	Common Linnet
Acanthis flammea	白腰朱顶雀	Common Redpoll
Acanthis hornemanni	极北朱顶雀	Arctic Redpoll
Loxia curvirostra	红交嘴雀	Red Crossbill
Loxia leucoptera	白翅交嘴雀	White-winged Crossbill
Carduelis carduelis	红额金翅雀	European Goldfinch
Serinus pusillus	金额丝雀	Red-fronted Serin
Spinus thibetanus	藏黄雀	Tibetan Serin
Spinus spinus	黄雀	Eurasian Siskin

Calcarius lapponicus	铁爪鹀	Lapland Longspur
Plectrophenax nivalis	雪鹀	Snow Bunting

Emberiza lathami	凤头鹀	Crested Bunting
Emberiza siemsseni	蓝鹀	Slaty Bunting
Emberiza calandra	黍鹀	Corn Bunting
Emberiza citrinella	黄鹀	Yellowhammer
Emberiza leucocephalos	白头鹀	Pine Bunting
Emberiza cia	灰眉岩鹀	Rock Bunting
Emberiza godlewskii	戈氏岩鹀	Godlewski's Bunting
Emberiza cioides	三道眉草鹀	Meadow Bunting
Emberiza stewarti	白顶鹀	White-capped Bunting
Emberiza jankowskii	栗斑腹鹀	Jankowski's Bunting
Emberiza buchanani	灰颈鹀	Grey-necked Bunting
Emberiza hortulana	圃鹀	Ortolan Bunting
Emberiza tristrami	白眉鹀	Tristram's Bunting
Emberiza fucata	栗耳鹀	Chestnut-eared Bunting
Emberiza pusilla	小鹀	Little Bunting
Emberiza chrysophrys	黄眉鹀	Yellow-browed Bunting
Emberiza rustica	田鹀	Rustic Bunting
Emberiza elegans	黄喉鹀	Yellow-throated Bunting
Emberiza aureola	黄胸鹀	Yellow-breasted Bunting
Emberiza rutila	栗鹀	Chestnut Bunting
Emberiza koslowi	藏鹀	Tibetan Bunting
Emberiza melanocephala	黑头鹀	Black-headed Bunting
Emberiza bruniceps	褐头鹀	Red-headed Bunting
Emberiza sulphurata	硫磺鹀	Yellow Bunting
Emberiza spodocephala	灰头鹀	Black-faced Bunting
Emberiza variabilis	灰鹀	Grey Bunting
Emberiza pallasi	苇鹀	Pallas's Bunting
Emberiza yessoensis	红颈苇鹀	Ochre-rumped Bunting
Emberiza schoeniclus	芦鹀	Reed Bunting

Zonotrichia leucophrys	白冠带鹀	White-crowned Sparrow
Passerculus sandwichensis	稀树草鹀	Savannah Sparrow



