130	楔尾鹱	Puffinus pacificus	Wedge-tailed Shearwater	鹱形目	鹱科
131	灰鹱	Puffinus griseus	Sooty Shearwater	鹱形目	鹱科
132	短尾鹱	Puffinus tenuirostris	Short-tailed Shearwater	鹱形目	鹱科
133	淡足鹱	Puffinus carneipes	Flesh-footed Shearwater	鹱形目	鹱科
135	黑叉尾海燕	Oceanodroma monorhis	Swinhoe's Storm Petrel	鹱形目	海燕科
136	白腰叉尾海燕	Oceanodroma leucorhoa	Leach's Storm Petrel	鹱形目	海燕科
137	褐翅叉尾海燕	Oceanodroma tristrami	Tristram's Storm Petrel	鹱形目	海燕科
138	日本叉尾海燕	Oceanodroma matsudairae	Matsudaira's Storm Petrel	鹱形目	海燕科
139	小䴙䴘	Tachybaptus ruficollis	Little Grebe	䴙䴘目	䴙䴘科
140	赤颈䴙䴘	Podiceps grisegena	Red-necked Grebe	䴙䴘目	䴙䴘科
141	凤头䴙䴘	Podiceps cristatus	Great Crested Grebe	䴙䴘目	䴙䴘科
142	角䴙䴘	Podiceps auritus	Horned Grebe	䴙䴘目	䴙䴘科
143	黑颈䴙䴘	Podiceps nigricollis	Black-necked Grebe	䴙䴘目	䴙䴘科
144	大红鹳	Phoenicopterus roseus	Greater Flamingo	红鹳目	红鹳科
145	红嘴鹲	Phaethon aethereus	Red-billed Tropicbird	鹲形目	鹲科
146	红尾鹲	Phaethon rubricauda	Red-tailed Tropicbird	鹲形目	鹲科
147	白尾鹲	Phaethon lepturus	White-tailed Tropicbird	鹲形目	鹲科
148	彩鹳	Mycteria leucocephala	Painted Stork	鹳形目	鹳科
149	钳嘴鹳	Anastomus oscitans	Asian Openbill	鹳形目	鹳科
150	黑鹳	Ciconia nigra	Black Stork	鹳形目	鹳科
151	白颈鹳	Ciconia episcopus	Woolly-necked Stork	鹳形目	鹳科
152	白鹳	Ciconia ciconia	White Stork	鹳形目	鹳科
153	东方白鹳	Ciconia boyciana	Oriental Stork	鹳形目	鹳科
