鸟种编号	中文名	拉丁名	英文名	目	科	定点记	随手记
4437	小黑背银鸥	Larus fuscus	Lesser Black-backed Gull	鸻形目	鸥科	9	1
4438	鸥嘴噪鸥	Gelochelidon nilotica	Common Gull-billed Tern	鸻形目	鸥科	15	0
4439	红嘴巨燕鸥	Hydroprogne caspia	Caspian Tern	鸻形目	鸥科	37	1
4440	大凤头燕鸥	Thalasseus bergii	Greater Crested Tern	鸻形目	鸥科	13	1
4442	中华凤头燕鸥	Thalasseus bernsteini	Chinese Crested Tern	鸻形目	鸥科	2	0
4444	白额燕鸥	Sternula albifrons	Little Tern	鸻形目	鸥科	82	1
4445	白腰燕鸥	Onychoprion aleuticus	Aleutian Tern	鸻形目	鸥科	3	0
4446	褐翅燕鸥	Onychoprion anaethetus	Bridled Tern	鸻形目	鸥科	7	1
4448	河燕鸥	Sterna aurantia	River Tern	鸻形目	鸥科	1	0
4449	粉红燕鸥	Sterna dougallii	Roseate Tern	鸻形目	鸥科	4	1
4450	黑枕燕鸥	Sterna sumatrana	Black-naped Tern	鸻形目	鸥科	11	2
4451	普通燕鸥	Sterna hirundo	Common Tern	鸻形目	鸥科	7	0
4453	灰翅浮鸥	Chlidonias hybrida	Whiskered Tern	鸻形目	鸥科	48	1
4454	白翅浮鸥	Chlidonias leucopterus	White-winged Tern	鸻形目	鸥科	9	1
4456	长尾贼鸥	Stercorarius longicaudus	Long-tailed Jaeger	鸻形目	贼鸥科	1	0
4462	扁嘴海雀	Synthliboramphus antiquus	Ancient Murrelet	鸻形目	海雀科	1	0
4465	栗鸮	Phodilus badius	Oriental Bay Owl	鸮形目	草鸮科	1	0
4466	草鸮	Tyto longimembris	Eastern Grass Owl	鸮形目	草鸮科	3	0
4467	仓鸮	Tyto javanica	Eastern Barn Owl	鸮形目	草鸮科	5	0
4468	日本鹰鸮	Ninox japonica	Northern Boobook	鸮形目	鸱鸮科	3	0
4469	鹰鸮	Ninox scutulata	Brown Boobook	鸮形目	鸱鸮科	1	0
4472	领鸺鹠	Glaucidium brodiei	Collared Owlet	鸮形目	鸱鸮科	14	0
4473	斑头鸺鹠	Glaucidium cuculoides	Asian Barred Owlet	鸮形目	鸱鸮科	6	0
4475	纵纹腹小鸮	Athene noctua	Little Owl	鸮形目	鸱鸮科	1	0
4478	领角鸮	Otus lettia	Collared Scops Owl	鸮形目	鸱鸮科	7	1
4479	黄嘴角鸮	Otus spilocephalus	Mountain Scops Owl	鸮形目	鸱鸮科	8	0
4482	红角鸮	Otus sunia	Oriental Scops Owl	鸮形目	鸱鸮科	3	0
4485	短耳鸮	Asio flammeus	Short-eared Owl	鸮形目	鸱鸮科	11	0
4486	褐林鸮	Strix leptogrammica	Brown Wood Owl	鸮形目	鸱鸮科	3	0
4487	灰林鸮	Strix nivicolum	Himalayan Owl	鸮形目	鸱鸮科	4	0
4488	长尾林鸮	Strix uralensis	Ural Owl	鸮形目	鸱鸮科	1	0
4492	雕鸮	Bubo bubo	Northern Eagle Owl	鸮形目	鸱鸮科	1	0
4493	林雕鸮	Bubo nipalensis	Spot-bellied Eagle Owl	鸮形目	鸱鸮科	1	0
4495	褐渔鸮	Ketupa zeylonensis	Brown Fish Owl	鸮形目	鸱鸮科	1	0
4496	黄腿渔鸮	Ketupa flavipes	Tawny Fish Owl	鸮形目	鸱鸮科	1	0
4497	鹗	Pandion haliaetus	Osprey	鹰形目	鹗科	21	0
4498	黑翅鸢	Elanus caeruleus	Black-shouldered Kite	鹰形目	鹰科	35	0
4499	胡兀鹫	Gypaetus barbatus	Bearded Vulture	鹰形目	鹰科	2	0
4502	凤头蜂鹰	Pernis ptilorhynchus	Oriental Honey-buzzard	鹰形目	鹰科	10	0
4504	黑冠鹃隼	Aviceda leuphotes	Black Baza	鹰形目	鹰科	2	0
4507	高山兀鹫	Gyps himalayensis	Himalayan Griffon	鹰形目	鹰科	1	1
4510	秃鹫	Aegypius monachus	Cinereous Vulture	鹰形目	鹰科	1	0
4511	蛇雕	Spilornis cheela	Crested Serpent Eagle	鹰形目	鹰科	31	0
4514	鹰雕	Nisaetus nipalensis	Mountain Hawk Eagle	鹰形目	鹰科	2	0
4516	林雕	Ictinaetus malaiensis	Black Eagle	鹰形目	鹰科	29	1
