Struthio molybdophanes	Somali Ostrich
Ptilopachus petrosus	Stone Partridge
Rhynchortyx cinctus	Tawny-faced Quail
Oreortyx pictus	Mountain Quail
Dendrortyx leucophrys	Buffy-crowned Wood Partridge
Dendrortyx macroura	Long-tailed Wood Partridge
Dendrortyx barbatus	Bearded Wood Partridge
Philortyx fasciatus	Banded Quail
Colinus virginianus	Northern Bobwhite
Colinus nigrogularis	Yucatan Bobwhite
Colinus leucopogon	Spot-bellied Bobwhite
Colinus cristatus	Crested Bobwhite
Callipepla gambelii	Gambel's Quail
Callipepla californica	California Quail
Callipepla squamata	Scaled Quail
Callipepla douglasii	Elegant Quail
Cyrtonyx ocellatus	Ocellated Quail
Cyrtonyx montezumae	Montezuma Quail
Dactylortyx thoracicus	Singing Quail
Odontophorus gujanensis	Marbled Wood Quail
Odontophorus capueira	Spot-winged Wood Quail
Odontophorus melanotis	Black-eared Wood Quail
Odontophorus atrifrons	Black-fronted Wood Quail
Odontophorus erythrops	Rufous-fronted Wood Quail
Odontophorus hyperythrus	Chestnut Wood Quail
Odontophorus melanonotus	Dark-backed Wood Quail
Odontophorus speciosus	Rufous-breasted Wood Quail
Odontophorus dialeucos	Tacarcuna Wood Quail
Odontophorus strophium	Gorgeted Wood Quail
Odontophorus columbianus	Venezuelan Wood Quail
Odontophorus leucolaemus	Black-breasted Wood Quail
Odontophorus balliviani	Stripe-faced Wood Quail
Odontophorus stellatus	Starred Wood Quail
Odontophorus guttatus	Spotted Wood Quail
Xenoperdix udzungwensis	Udzungwa Forest Partridge
Caloperdix oculeus	Ferruginous Partridge
Rollulus rouloul	Crested Partridge
Melanoperdix niger	Black Partridge
Arborophila torqueola	Hill Partridge
Arborophila rufipectus	Sichuan Partridge
Arborophila mandellii	Chestnut-breasted Partridge
Arborophila gingica	White-necklaced Partridge
Arborophila rufogularis	Rufous-throated Partridge
Arborophila rubrirostris	Red-billed Partridge
Arborophila cambodiana	Chestnut-headed Partridge
Arborophila ardens	Hainan Partridge
Arborophila crudigularis	Taiwan Partridge
Arborophila atrogularis	White-cheeked Partridge
Arborophila brunneopectus	Bar-backed Partridge
Arborophila davidi	Orange-necked Partridge
Arborophila hyperythra	Red-breasted Partridge
Arborophila campbelli	Malayan Partridge
Arborophila rolli	Roll's Partridge
Arborophila sumatrana	Sumatran Partridge
Arborophila javanica	Chestnut-bellied Partridge
Arborophila orientalis	Grey-breasted Partridge
Lerwa lerwa	Snow Partridge
Ithaginis cruentus	Blood Pheasant
Tragopan melanocephalus	Western Tragopan
Tragopan satyra	Satyr Tragopan
Tragopan blythii	Blyth's Tragopan
Tragopan temminckii	Temminck's Tragopan
Tragopan caboti	Cabot's Tragopan
Tetraophasis obscurus	Chestnut-throated Monal-Partridge
Tetraophasis szechenyii	Buff-throated Monal-Partridge
Lophophorus impejanus	Himalayan Monal
Lophophorus sclateri	Sclater's Monal
Lophophorus lhuysii	Chinese Monal
Rhizothera longirostris	Long-billed Partridge
Rhizothera dulitensis	Dulit Partridge
Pucrasia macrolopha	Koklass Pheasant
Meleagris ocellata	Ocellated Turkey
Meleagris gallopavo	Wild Turkey
Bonasa umbellus	Ruffed Grouse
Tetrastes sewerzowi	Chinese Grouse
Tetrastes bonasia	Hazel Grouse
Centrocercus urophasianus	Sage Grouse
Centrocercus minimus	Gunnison Grouse
Dendragapus fuliginosus	Sooty Grouse
Dendragapus obscurus	Dusky Grouse
Tympanuchus phasianellus	Sharp-tailed Grouse
Tympanuchus cupido	Greater Prairie Chicken
Tympanuchus pallidicinctus	Lesser Prairie Chicken
Lagopus leucura	White-tailed Ptarmigan
Lagopus muta	Rock Ptarmigan
Lagopus scotica	Red Grouse
Lagopus lagopus	Willow Ptarmigan
Falcipennis falcipennis	Siberian Grouse
Canachites canadensis	Spruce Grouse
Tetrao urogalloides	Black-billed Capercaillie
Tetrao urogallus	Western Capercaillie
Lyrurus mlokosiewiczi	Caucasian Grouse
Lyrurus tetrix	Black Grouse
Perdix hodgsoniae	Tibetan Partridge
Perdix dauurica	Daurian Partridge
Perdix perdix	Grey Partridge
Syrmaticus soemmerringii	Copper Pheasant
Syrmaticus reevesii	Reeves's Pheasant
Syrmaticus mikado	Mikado Pheasant
Syrmaticus ellioti	Elliot's Pheasant
Syrmaticus humiae	Mrs. Hume's Pheasant
Chrysolophus pictus	Golden Pheasant
Chrysolophus amherstiae	Lady Amherst's Pheasant
Phasianus versicolor	Green Pheasant
Phasianus colchicus	Common Pheasant
Catreus wallichii	Cheer Pheasant
Crossoptilon harmani	Tibetan Eared Pheasant
Crossoptilon crossoptilon	White Eared Pheasant
Crossoptilon mantchuricum	Brown Eared Pheasant
Crossoptilon auritum	Blue Eared Pheasant
Lophura edwardsi	Edwards's Pheasant
Lophura swinhoii	Swinhoe's Pheasant
Lophura bulweri	Bulwer's Pheasant
Lophura leucomelanos	Kalij Pheasant
Lophura nycthemera	Silver Pheasant
Lophura erythrophthalma	Malayan Crestless Fireback
Lophura pyronota	Bornean Crestless Fireback
Lophura diardi	Siamese Fireback
Lophura inornata	Salvadori's Pheasant
Lophura rufa	Malayan Crested Fireback
Lophura ignita	Bornean Crested Fireback
Argusianus argus	Great Argus
Rheinardia ocellata	Vietnamese Crested Argus
Rheinardia nigrescens	Malayan Crested Argus
Afropavo congensis	Congo Peafowl
Pavo cristatus	Indian Peafowl
Pavo muticus	Green Peafowl
Tropicoperdix chloropus	Green-legged Partridge
Tropicoperdix charltonii	Chestnut-necklaced Partridge
Tropicoperdix graydoni	Sabah Partridge
Haematortyx sanguiniceps	Crimson-headed Partridge
Galloperdix spadicea	Red Spurfowl
Galloperdix lunulata	Painted Spurfowl
Galloperdix bicalcarata	Sri Lanka Spurfowl
Polyplectron napoleonis	Palawan Peacock-Pheasant
Polyplectron schleiermacheri	Bornean Peacock-Pheasant
Polyplectron malacense	Malayan Peacock-Pheasant
Polyplectron germaini	Germain's Peacock-Pheasant
Polyplectron katsumatae	Hainan Peacock-Pheasant
Polyplectron bicalcaratum	Grey Peacock-Pheasant
Polyplectron inopinatum	Mountain Peacock-Pheasant
Polyplectron chalcurum	Sumatran Peacock-Pheasant
Bambusicola fytchii	Mountain Bamboo Partridge
Bambusicola thoracicus	Chinese Bamboo Partridge
Bambusicola sonorivox	Taiwan Bamboo Partridge
Gallus varius	Green Junglefowl
Gallus gallus	Red Junglefowl
Gallus sonneratii	Grey Junglefowl
Gallus lafayettii	Sri Lanka Junglefowl
Peliperdix lathami	Latham's Francolin
Campocolinus coqui	Coqui Francolin
Campocolinus albogularis	White-throated Francolin
Campocolinus schlegelii	Schlegel's Francolin
Scleroptila streptophora	Ring-necked Francolin
Scleroptila levaillantii	Red-winged Francolin
Scleroptila finschi	Finsch's Francolin
Scleroptila psilolaema	Moorland Francolin
Scleroptila elgonensis	Elgon Francolin
Scleroptila afra	Grey-winged Francolin
Scleroptila gutturalis	Orange River Francolin
Scleroptila shelleyi	Shelley's Francolin
Scleroptila whytei	Whyte's Francolin
Ortygornis sephaena	Crested Francolin
Ortygornis gularis	Swamp Francolin
Ortygornis pondicerianus	Grey Francolin
Francolinus pintadeanus	Chinese Francolin
Francolinus pictus	Painted Francolin
Francolinus francolinus	Black Francolin
Tetraogallus tibetanus	Tibetan Snowcock
Tetraogallus altaicus	Altai Snowcock
Tetraogallus caucasicus	Caucasian Snowcock
Tetraogallus caspius	Caspian Snowcock
Tetraogallus himalayensis	Himalayan Snowcock
Ammoperdix griseogularis	See-see Partridge
Ammoperdix heyi	Sand Partridge
Synoicus ypsilophorus	Brown Quail
Synoicus monorthonyx	Snow Mountain Quail
Synoicus chinensis	King Quail
Synoicus adansonii	Blue Quail
Margaroperdix madagarensis	Madagascar Partridge
Coturnix japonica	Japanese Quail
Coturnix coturnix	Common Quail
Coturnix coromandelica	Rain Quail
Coturnix delegorguei	Harlequin Quail
Coturnix novaezelandiae	New Zealand Quail
Coturnix pectoralis	Stubble Quail
Alectoris barbara	Barbary Partridge
Alectoris melanocephala	Arabian Partridge
Alectoris rufa	Red-legged Partridge
Alectoris chukar	Chukar Partridge
Alectoris graeca	Rock Partridge
Alectoris philbyi	Philby's Partridge
Alectoris magna	Przevalski's Partridge
Ophrysia superciliosa	Himalayan Quail
Perdicula asiatica	Jungle Bush Quail
Perdicula argoondah	Rock Bush Quail
Perdicula erythrorhyncha	Painted Bush Quail
Perdicula manipurensis	Manipur Bush Quail
Pternistis hartlaubi	Hartlaub's Spurfowl
Pternistis nobilis	Handsome Spurfowl
Pternistis camerunensis	Mount Cameroon Spurfowl
Pternistis castaneicollis	Chestnut-naped Spurfowl
Pternistis erckelii	Erckel's Spurfowl
Pternistis ochropectus	Djibouti Spurfowl
Pternistis swierstrai	Swierstra's Spurfowl
Pternistis ahantensis	Ahanta Spurfowl
Pternistis griseostriatus	Grey-striped Spurfowl
Pternistis jacksoni	Jackson's Spurfowl
Pternistis capensis	Cape Spurfowl
Pternistis adspersus	Red-billed Spurfowl
Pternistis natalensis	Natal Spurfowl
Pternistis hildebrandti	Hildebrandt's Spurfowl
Pternistis bicalcaratus	Double-spurred Spurfowl
Pternistis icterorhynchus	Heuglin's Spurfowl
Pternistis squamatus	Scaly Spurfowl
Pternistis harwoodi	Harwood's Spurfowl
Pternistis clappertoni	Clapperton's Spurfowl
Pternistis swainsonii	Swainson's Spurfowl
Pternistis leucoscepus	Yellow-necked Spurfowl
Pternistis rufopictus	Grey-breasted Spurfowl
Pternistis afer	Red-necked Spurfowl
Phoeniconaias minor	Lesser Flamingo
Phoenicoparrus andinus	Andean Flamingo
Phoenicoparrus jamesi	James's Flamingo
Phoenicopterus chilensis	Chilean Flamingo
Phoenicopterus roseus	Greater Flamingo
Phoenicopterus ruber	American Flamingo
Rollandia microptera	Titicaca Grebe
Rollandia rolland	White-tufted Grebe
Tachybaptus rufolavatus	Alaotra Grebe
Tachybaptus ruficollis	Little Grebe
Tachybaptus novaehollandiae	Australasian Grebe
Tachybaptus pelzelnii	Madagascar Grebe
Tachybaptus dominicus	Least Grebe
Podilymbus gigas	Atitlan Grebe
Podilymbus podiceps	Pied-billed Grebe
Poliocephalus poliocephalus	Hoary-headed Grebe
Poliocephalus rufopectus	New Zealand Grebe
Podiceps major	Great Grebe
Podiceps auritus	Horned Grebe
Podiceps grisegena	Red-necked Grebe
Podiceps cristatus	Great Crested Grebe
Podiceps nigricollis	Black-necked Grebe
Podiceps andinus	Colombian Grebe
Podiceps occipitalis	Silvery Grebe
Podiceps taczanowskii	Junin Grebe
Podiceps gallardoi	Hooded Grebe
Aechmophorus occidentalis	Western Grebe
Aechmophorus clarkii	Clark's Grebe
Corythaeola cristata	Great Blue Turaco
Crinifer concolor	Grey Go-away-bird
Crinifer personatus	Bare-faced Go-away-bird
Crinifer leucogaster	White-bellied Go-away-bird
Crinifer piscator	Western Plantain-eater
Crinifer zonurus	Eastern Plantain-eater
Gallirex porphyreolophus	Purple-crested Turaco
Gallirex johnstoni	Rwenzori Turaco
Menelikornis ruspolii	Ruspoli's Turaco
Menelikornis leucotis	White-cheeked Turaco
