	0865#	Machlolophus spilonotus	黄颊山雀	Yellow-cheeked Tit	LC	-
	雀形目	PASSERIFORMES	鹎科	Pycnonotidae (7:22)		
	0906#	Alophoixus pallidus	白喉冠鹎	Puff-throated Bulbul	LC	-
	0907#	Iole propinqua	灰眼短脚鹎	Grey-eyed Bulbul	LC	-
	0910#	Hemixos castanonotus	栗背短脚鹎	Chestnut Bulbul	LC	-
	0911#	Ixos mcclellandii	绿翅短脚鹎	Mountain Bulbul	LC	-
	0912#	Hypsipetes leucocephalus	黑短脚鹎	Black Bulbul	LC	-
	0892#	Spizixos semitorques	领雀嘴鹎	Collared Finchbill	LC	-
	0895#	Rubigula flaviventris	黑冠黄鹎	Black-crested Bulbul	LC	-
	0904#	Pycnonotus flavescens	黄绿鹎	Flavescent Bulbul	LC	-
	0897#	Pycnonotus xanthorrhous	黄臀鹎	Brown-breasted Bulbul	LC	-
	0898#	Pycnonotus sinensis	白头鹎	Light-vented Bulbul	LC	-
	0896#	Pycnonotus jocosus	红耳鹎	Red-whiskered Bulbul	LC	-
	0902#	Pycnonotus aurigaster	白喉红臀鹎	Sooty-headed Bulbul	LC	-
	雀形目	PASSERIFORMES	燕科	Hirundinidae (6:14)		
	0882#	Hirundo rustica	家燕	Barn Swallow	LC	-
	0881#	Ptyonoprogne concolor	纯色岩燕	Dusky Crag Martin	LC	-
	0887#	Delichon dasypus	烟腹毛脚燕	Asian House Martin	LC	-
	0884#	Cecropis daurica	金腰燕	Red-rumped Swallow	LC	-
	雀形目	PASSERIFORMES	鳞胸鹪鹛科	Pnoepygidae (1:5)		
	1068#	Pnoepyga pusilla	小鳞胸鹪鹛	Pygmy Cupwing	LC	-
	雀形目	PASSERIFORMES	树莺科	Cettiidae (7:19)		
	1010#	Abroscopus superciliaris	黄腹鹟莺	Yellow-bellied Warbler	LC	-
	1008#	Abroscopus albogularis	棕脸鹟莺	Rufous-faced Warbler	LC	-
	0967#	Phyllergates cucullatus	金头缝叶莺	Mountain Tailorbird	LC	-
