4165	黑颏果鸠	Ptilinopus leclancheri	Black-chinned Fruit Dove	鸽形目	鸠鸽科
4166	毛腿沙鸡	Syrrhaptes paradoxus	Pallas's Sandgrouse	沙鸡目	沙鸡科
4167	西藏毛腿沙鸡	Syrrhaptes tibetanus	Tibetan Sandgrouse	沙鸡目	沙鸡科
4168	黑腹沙鸡	Pterocles orientalis	Black-bellied Sandgrouse	沙鸡目	沙鸡科
4169	黑顶蛙口夜鹰	Batrachostomus hodgsoni	Hodgson’s Frogmouth	夜鹰目	蛙口夜鹰科
4170	毛腿夜鹰	Lyncornis macrotis                   	Great Eared Nightjar	夜鹰目	夜鹰科
4171	普通夜鹰	Caprimulgus jotaka	Grey Nightjar	夜鹰目	夜鹰科
4172	欧夜鹰	Caprimulgus europaeus	Eurasian Nightjar	夜鹰目	夜鹰科
4173	埃及夜鹰	Caprimulgus aegyptius	Egyptian Nightjar	夜鹰目	夜鹰科
4174	长尾夜鹰	Caprimulgus macrurus	Large-tailed Nightjar	夜鹰目	夜鹰科
4175	林夜鹰	Caprimulgus affinis	Savanna Nightjar	夜鹰目	夜鹰科
4176	凤头雨燕	Hemiprocne coronata	Crested Treeswift	夜鹰目	凤头雨燕科
4177	白喉针尾雨燕	Hirundapus caudacutus	White-throated Spinetail 	夜鹰目	雨燕科
4178	灰喉针尾雨燕	Hirundapus cochinchinensis	Silver-backed Spinetail 	夜鹰目	雨燕科
4179	褐背针尾雨燕	Hirundapus giganteus	Brown-backed Spinetail 	夜鹰目	雨燕科
4180	紫针尾雨燕	Hirundapus celebensis	Purple Spinetail 	夜鹰目	雨燕科
4181	短嘴金丝燕	Aerodramus brevirostris	Himalayan Swiftlet	夜鹰目	雨燕科
4182	爪哇金丝燕	Aerodramus fuciphagus	Edible-nest Swiftlet	夜鹰目	雨燕科
4183	棕雨燕	Cypsiurus balasiensis	Asian Palm Swift	夜鹰目	雨燕科
4184	高山雨燕	Tachymarptis melba	Alpine Swift	夜鹰目	雨燕科
4185	暗背雨燕	Apus acuticauda	Dark-backed Swift	夜鹰目	雨燕科
